31.222,121.3293
31.322,121.3294
31.422,121.3295
31.522,121.3296
31.622,121.3297
31.722,121.3293
31.822,121.3294
31.922,121.3295
31.102,121.3296
31.112,121.3297
31.122,121.3293
31.132,121.3294
31.422,121.3295
31.522,121.3296
31.622,121.3297
31.222,121.3293
31.322,121.3294
31.422,121.3295
31.522,121.3296
31.622,121.3297
31.222,121.3293
31.322,121.3294
31.422,121.3295
31.522,121.3296
31.622,121.3297
31.222,121.3293
31.322,121.3294
31.422,121.3295
31.522,121.3296
31.622,121.3297
31.222,121.3293
31.322,121.3294
31.422,121.3295
31.522,121.3296
31.622,121.3297
31.222,121.3293
31.322,121.3294
31.422,121.3295
31.522,121.3296
31.622,121.3297
31.222,121.3293
31.322,121.3294
31.422,121.3295
31.522,121.3296
31.622,121.3297
31.222,121.3293
31.322,121.3294
31.422,121.3295
31.522,121.3296


